case_id,arm,stage,family,state,entry_mode,unresolved_obligation,owner,applicable,explicit_method,owner_source,required_implicit_owner,entry_match,owner_match,route_match,joint_match,first_divergence,final_route,reason,call_keys
L01,source,native_failed,direct,technical_failure,error:provider_error,error:provider_error,not_run,not_run,,not_reached,False,,,,,not_scored,llm_fallback,entry_mode:provider_error,"[""b81fa2b2fc481f2afaf173e6a340e5bd09e2ea24004983bf89fb66709d5c95b0""]"
L01,english,unrun,direct,unrun,not_run,not_run,not_run,not_run,,not_reached,False,,,,,not_scored,,,[]
L02,source,backup_failed,direct,technical_failure,error:provider_error,error:provider_error,not_run,not_run,,not_reached,False,,,,,not_scored,llm_fallback,entry_mode:provider_error,"[""ef38a668cc69067db50ca40be7dbfefd9941b8d5937d88a2d38d5eb60e0efda5""]"
L02,english,unrun,direct,unrun,not_run,not_run,not_run,not_run,,not_reached,False,,,,,not_scored,,,[]
L03,source,native_strict,direct,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""c61196dfc1979bc6a15aade8224d9be4e5a92d357e159bb6c44b0dbfd1ad65a7""]"
L03,english,native_strict,direct,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""6539f1fe670cfcabf074eb53c0533e9107beb86a8084c9927e1177244c032dce""]"
L04,source,native_strict,direct,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""c97f1f6c9b4cfa19173ff08694763e9074c1c6bdd38debc58e8d47eed35ee684""]"
L04,english,native_strict,direct,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""42ae26d85405c286c154c1ff0c4642704f9f8be39cc3a00df8f8d032e1f09686""]"
L05,source,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""2860723f855db13f6233377e27c061dc3ef87b248e4395abdfc7426752a9d0ec""]"
L05,english,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""534a6cb0ee4a724c80b81299010077ec432b912c633786ffedfeae090403e881""]"
L06,source,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""ada80f0be9391a56170f43440223da7d5f671e488dd0d52e7ce571b849e5fcc9""]"
L06,english,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""d2af3ed49d0db4483cbf6f1f4f7b5d162eb0bf51b1021039450fd284c133572e""]"
L07,source,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""26064c347a24381ecb3f378332fc67b976c454bb7d270017527802f4d59274ff""]"
L07,english,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""08f5eae2a7385779b302146ae97e7ff73a4d3e4d4c60273f71855c02feb19748""]"
L08,source,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""00c5a652a3fd2303605c7911bb78ad20122d6921b210c9b29bd5c853f0bda5c1""]"
L08,english,native_strict,missing_facts,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,False,True,,True,True,none,acquire_information,decision_critical_information_required,"[""ac7ccb6dabedf42f730d3b2524d168087773e4603d7f805c9c7b14a313066a0f""]"
L09,source,native_strict,sra,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,True,False,,False,False,J1_entry,acquire_information,decision_critical_information_required,"[""b1c78827923c59211432e80c8077390d15d096bdf36edbe15d0260a1c3b4cb09""]"
L09,english,native_strict,sra,semantic_observed,mindthus_intervention,clear,sra,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""b32f281410ac26f26ed7160115b7216b7e1bdfb10460b96b769a0da714923fc6"", ""6afba3b2a31cc4ec0f24c16d7f120615373cf0749e194c2aa3a934e6d17fc6b1"", ""5b6da7bd75025f24f3c508d7ffc43eecc9e33c04db38a76e79efa977d562f439""]"
L10,source,native_strict,sra,semantic_observed,mindthus_intervention,clear,sra,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""78bb73f42e9c92b3844311c863fcd246a067932880fd9d0d5848c00635999859"", ""86979961b9363b0be4d07345fb6a23890fb84ef610cd19d1c5687d0786a35702"", ""1f4b45b3bf7ac927e4c980ef2f49a6d12e9df94004ec880a1ce9a69e840f8d1e""]"
L10,english,native_strict,sra,semantic_observed,mindthus_intervention,clear,sra,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""d92abf87c046eb0c4be8e6e9cb935177452550ca0a7fc3d3f628f8c4668c8437"", ""ff83d9510b16c0667f0ed3804d42d5215106ca9fa9082ab833aa92104a629a4b"", ""bbb0d3e44876ce2e1bb5755347c91c72866aab37dc3254ba71a8fed265b3f260""]"
L11,source,native_strict,sra,semantic_observed,mindthus_intervention,clear,sra,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""836771095b4c199766c4dea347fb7753627eeea48878051c529e9db25c0f7ca1"", ""b034bedadf4ea33fea7889fd294fa5a012762e18f1e48e3e4d6df66270e793a5"", ""010c2ce7f3a3e67203342ebb49bcbe4dca36c022ecafda5679d4ae8f3ad513b8""]"
L11,english,native_strict,sra,semantic_observed,acquire_information,clear,not_run,not_run,,not_reached,True,False,,False,False,J1_entry,acquire_information,decision_critical_information_required,"[""0c7c7fe97b2db669a6ae37e2fa05e6c4887b016b280d4414d789a87a0a3ef95f""]"
L12,source,native_strict,sra,semantic_observed,mindthus_intervention,clear,sra,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""8f8626c9fc1213679cefa7919f8f4ed263bd27745cdc6275adea28730a97428a"", ""f3fac7a44e94e817b09867e32953fa17b2c28a4b640f1e4930aaeb02ebe7d0c4"", ""900fd756f9cd43102dffc83e48c30766d15773cc3dacf72cda9da164353bd6be""]"
L12,english,native_strict,sra,semantic_observed,mindthus_intervention,clear,sra,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""2b963b144c41d11f6e46ca2b2c6211f5e80fa8e2fca0b003adfb50bb09a1ed03"", ""412b8af6dcaee288bd97edfb2f70e3bae6e6c9eee9eaf84191887d82168f77c3"", ""35f6bb4696cab55fc47af0e0d4f50abe4779e7ccf2ce2e8e21b517f3b06a10a5""]"
L13,source,native_strict,edsp,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""ac5227b3965137940dbdc47c89591cfcdb614cf01c6dbb23bcf5887db3b80bce""]"
L13,english,native_strict,edsp,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,False,True,,True,True,none,direct_execute,fact_sufficient_low_risk_direct_task,"[""fccefedd82657a2177977f378ce0cb881bf4d0177457834f8382c0441ea37def""]"
L14,source,native_strict,edsp,semantic_observed,mindthus_intervention,clear,edsp,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""75b567e2077d4d2603b32fe8334517037dd83e4f329bbfe7f4f593ec3623fb22"", ""679a89a59d5cd5d754b4563c0dac020409ee2d7e7df240814744355dc07723e3"", ""413209f62b76e2a0bb75dedf7dd185434b232dc998bb78901bd2b49a9ec85c76""]"
L14,english,native_strict,edsp,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,True,False,,False,False,J1_entry,direct_execute,fact_sufficient_low_risk_direct_task,"[""b8b799c7fa68711e3ce59b95b7831d1fce749918ed1217c58cb63cc4ca96c4e3""]"
L15,source,native_strict,edsp,semantic_observed,mindthus_intervention,clear,edsp,yes,,model_choice,True,True,True,True,True,none,intervene,eligible_owner_selected,"[""a910b2214791d26f534dee427792ebf00784cfa0bbc70a45a1ccfd3f59b76a78"", ""331a3f2a7848a2b4be9de713899c8068edb49c83eda86b55e648bff728612b7a"", ""d1af08913e202b3afb9473abfe4f7ae4487d05fa466270c181806c196260b022""]"
L15,english,native_strict,edsp,semantic_observed,direct_execution,clear,not_run,not_run,,not_reached,True,False,,False,False,J1_entry,direct_execute,fact_sufficient_low_risk_direct_task,"[""85aa182e7be6bb8848fc757aa8181bccb6a4b53e90fc5f4f0568067d92a39476""]"
