case_id,mechanical_d0,disputed,B_final_match,B_joint_match,C_final_match,C_joint_match,B_route,B_owner,B_reason,C_route,C_owner,C_reason
L01,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L02,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L03,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L04,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L05,False,False,True,True,True,True,acquire_information,,decision_critical_information_required,acquire_information,,decision_critical_information_required
L06,False,False,True,True,True,True,acquire_information,,decision_critical_information_required,acquire_information,,decision_critical_information_required
L07,False,False,True,True,True,True,acquire_information,,decision_critical_information_required,acquire_information,,decision_critical_information_required
L08,False,False,True,True,True,True,acquire_information,,decision_critical_information_required,acquire_information,,decision_critical_information_required
L09,False,True,True,True,True,True,intervene,sra,eligible_owner_selected,intervene,sra,eligible_owner_selected
L10,False,True,True,True,True,True,intervene,sra,eligible_owner_selected,intervene,sra,eligible_owner_selected
L11,False,True,True,True,True,True,intervene,sra,eligible_owner_selected,intervene,sra,eligible_owner_selected
L12,False,True,True,True,True,True,intervene,sra,eligible_owner_selected,intervene,sra,eligible_owner_selected
L13,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L14,False,True,False,False,False,False,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L15,False,True,True,True,False,False,intervene,edsp,eligible_owner_selected,direct_execute,,fact_sufficient_low_risk_direct_task
L16,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L17,False,True,False,False,False,False,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L18,False,True,False,False,False,False,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L19,False,False,True,True,True,True,intervene,mpg,eligible_owner_selected,intervene,mpg,eligible_owner_selected
L20,False,False,False,False,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,intervene,mpg,eligible_owner_selected
L21,False,False,False,False,True,True,intervene,edsp,eligible_owner_selected,intervene,wae,eligible_owner_selected
L22,False,False,True,True,False,False,intervene,wae,eligible_owner_selected,llm_fallback,,unresolved_or_conflicting_judgment
L23,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L24,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
L25,False,False,True,True,True,True,intervene,sra,eligible_owner_selected,intervene,sra,eligible_owner_selected
L26,False,False,True,True,True,True,intervene,edsp,eligible_owner_selected,intervene,edsp,eligible_owner_selected
L27,False,False,True,False,True,False,llm_fallback,,explicit_method_conflicts_with_direct,llm_fallback,,explicit_method_conflicts_with_direct
L28,False,False,True,False,True,False,llm_fallback,,explicit_method_conflicts_with_direct,llm_fallback,,explicit_method_conflicts_with_direct
L29,False,False,True,True,True,True,llm_fallback,,unresolved_or_conflicting_judgment,llm_fallback,,unresolved_or_conflicting_judgment
L30,True,False,True,True,True,True,original_path,,stale_or_unknown_context,original_path,,stale_or_unknown_context
L31,True,False,True,True,True,True,original_path,,missing_request,original_path,,missing_request
L32,False,False,True,True,True,True,direct_execute,,fact_sufficient_low_risk_direct_task,direct_execute,,fact_sufficient_low_risk_direct_task
